timestamp,open,high,low,close,volume
2019-09-09 01:00:00+08:00,10000.0,10000.0,10000.0,10000.0,0.002
2019-09-09 02:00:00+08:00,10000.0,10000.0,10000.0,10000.0,0.0
2019-09-09 03:00:00+08:00,10344.77,10357.53,10337.43,10340.12,471.659
2019-09-09 04:00:00+08:00,10340.12,10368.64,10334.54,10351.42,583.271
2019-09-09 05:00:00+08:00,10351.42,10391.9,10324.77,10391.9,689.759
2019-09-09 06:00:00+08:00,10392.59,10412.65,10375.58,10375.58,675.394
2019-09-09 07:00:00+08:00,10375.58,10392.25,10366.57,10391.63,676.206
2019-09-09 08:00:00+08:00,10391.63,10391.63,10391.63,10391.63,0.0
2019-09-09 09:00:00+08:00,10391.63,10391.63,10391.63,10391.63,0.0
2019-09-09 10:00:00+08:00,10316.62,10316.65,10294.29,10296.04,96.462
2019-09-09 11:00:00+08:00,10295.81,10316.68,10267.37,10297.89,682.987
2019-09-09 12:00:00+08:00,10297.89,10316.33,10251.51,10316.3,680.278
2019-09-09 13:00:00+08:00,10316.3,10316.34,10299.8,10304.32,671.524
2019-09-09 14:00:00+08:00,10304.32,10305.51,10252.36,10256.09,680.52
2019-09-09 15:00:00+08:00,10260.16,10273.71,10092.71,10149.47,632.467
2019-09-09 16:00:00+08:00,10149.47,10170.74,10077.22,10147.84,1160.043
2019-09-09 17:00:00+08:00,10147.84,10267.74,10143.68,10248.89,274.673
2019-09-09 18:00:00+08:00,10249.57,10256.18,10196.76,10253.25,384.383
2019-09-09 19:00:00+08:00,10247.69,10475.54,10222.75,10414.6,647.386
2019-09-09 20:00:00+08:00,10411.7,10411.7,10349.89,10356.75,844.568
2019-09-09 21:00:00+08:00,10356.61,10389.12,10317.61,10322.37,872.928
2019-09-09 22:00:00+08:00,10327.06,10363.82,10302.69,10337.55,830.825
2019-09-09 23:00:00+08:00,10333.86,10363.66,10308.84,10314.26,837.694
2019-09-10 00:00:00+08:00,10314.26,10333.55,10183.31,10255.44,1126.982
2019-09-10 01:00:00+08:00,10253.31,10296.3,10235.3,10263.33,913.252
2019-09-10 02:00:00+08:00,10261.38,10288.82,10250.56,10255.58,918.219
2019-09-10 03:00:00+08:00,10255.58,10323.13,10237.17,10308.87,956.876
2019-09-10 04:00:00+08:00,10307.8,10420.65,10228.28,10233.85,726.047
2019-09-10 05:00:00+08:00,10229.48,10343.79,10229.48,10289.48,516.808
2019-09-10 06:00:00+08:00,10289.48,10358.69,10289.48,10358.69,296.634
2019-09-10 07:00:00+08:00,10347.5,10382.64,10304.8,10307.0,72.817
2019-09-10 08:00:00+08:00,10307.0,10373.14,10307.0,10338.61,197.31
2019-09-10 09:00:00+08:00,10336.92,10382.97,10328.53,10328.53,322.633
2019-09-10 10:00:00+08:00,10328.04,10356.14,10281.43,10281.43,546.28
2019-09-10 11:00:00+08:00,10285.58,10320.45,10266.61,10307.25,481.232
2019-09-10 12:00:00+08:00,10309.17,10329.24,10304.57,10305.21,513.665
2019-09-10 13:00:00+08:00,10305.21,10306.67,10251.86,10262.85,312.001
2019-09-10 14:00:00+08:00,10263.35,10271.65,10226.81,10265.96,449.925
2019-09-10 15:00:00+08:00,10265.96,10304.82,10240.25,10272.46,430.492
2019-09-10 16:00:00+08:00,10271.93,10286.15,10247.2,10256.08,374.454
2019-09-10 17:00:00+08:00,10255.76,10290.01,10206.87,10248.67,356.75
2019-09-10 18:00:00+08:00,10255.07,10280.9,10222.99,10240.32,358.313
2019-09-10 19:00:00+08:00,10240.11,10259.52,10223.56,10254.56,319.484
2019-09-10 20:00:00+08:00,10252.7,10270.58,10226.02,10254.63,320.088
2019-09-10 21:00:00+08:00,10256.66,10258.78,10221.96,10241.79,308.964
2019-09-10 22:00:00+08:00,10237.92,10239.21,10176.69,10208.34,579.259
2019-09-10 23:00:00+08:00,10203.7,10222.71,10167.91,10179.1,321.499
